Player,ID,Year,WAR,Age,Tm,Lg,PA,HoF,MVP
Paul Goldschmidt,goldspa01,2015,8.7,27,ARI,NL,695,N,N
Joe Gordon,gordojo01,1942,8.2,27,NYY,AL,625,Y,Y
Bobby Grich,grichbo01,1973,8.3,24,BAL,AL,700,N,N
Ken Griffey Jr.,griffke02,1997,9.1,27,SEA,AL,704,Y,Y
Ken Griffey Jr.,griffke02,1996,9.7,26,SEA,AL,638,Y,N
Ken Griffey Jr.,griffke02,1993,8.8,23,SEA,AL,691,Y,N
Pedro Guerrero,guerrpe01,1985,8,29,LAD,NL,581,N,N
Tony Gwynn,gwynnto01,1987,8.6,27,SDP,NL,680,Y,N
Billy Hamilton,hamilbi01,1894,8.2,28,PHI,NL,702,Y,N
Josh Hamilton,hamiljo03,2010,8.7,29,TEX,AL,571,N,Y
Bryce Harper,harpebr03,2015,10,22,WSN,NL,654,N,Y
Harry Heilmann,heilmha01,1923,9.3,28,DET,AL,627,Y,N
Todd Helton,heltoto01,2004,8.3,30,COL,NL,683,N,N
Todd Helton,heltoto01,2000,8.9,26,COL,NL,697,N,N
Rickey Henderson,henderi01,1990,9.9,31,OAK,AL,594,Y,Y
Rickey Henderson,henderi01,1989,8.7,30,TOT,AL,674,Y,N
Rickey Henderson,henderi01,1985,9.9,26,NYY,AL,654,Y,N
Rickey Henderson,henderi01,1980,8.8,21,OAK,AL,722,Y,N
Tommy Holmes,holmeto01,1945,8,28,BSN,NL,714,N,N
Rogers Hornsby,hornsro01,1929,10.4,33,CHC,NL,712,Y,Y
Rogers Hornsby,hornsro01,1928,8.8,32,BSN,NL,621,Y,N
Rogers Hornsby,hornsro01,1927,10.1,31,NYG,NL,684,Y,N
Rogers Hornsby,hornsro01,1925,10.2,29,STL,NL,606,Y,Y
Rogers Hornsby,hornsro01,1924,12.1,28,STL,NL,642,Y,N
Rogers Hornsby,hornsro01,1922,10,26,STL,NL,704,Y,N
Rogers Hornsby,hornsro01,1921,10.8,25,STL,NL,674,Y,N
Rogers Hornsby,hornsro01,1920,9.6,24,STL,NL,660,Y,N
Rogers Hornsby,hornsro01,1917,9.9,21,STL,NL,588,Y,N
Shoeless Joe Jackson,jacksjo01,1912,9.5,24,CLE,AL,651,N,N
Shoeless Joe Jackson,jacksjo01,1911,9.2,23,CLE,AL,641,N,N
Reggie Jackson,jacksre01,1969,9.2,23,OAK,AL,678,Y,N
Hughie Jennings,jennihu01,1896,8.3,27,BLN,NL,602,Y,N
Derek Jeter,jeterde01,1999,8,25,NYY,AL,739,N,N
Andruw Jones,jonesan01,2000,8.2,23,ATL,NL,729,N,N
Aaron Judge,judgeaa01,2017,8.1,25,NYY,AL,678,N,N
Al Kaline,kalinal01,1961,8.4,26,DET,AL,665,Y,N
Al Kaline,kalinal01,1955,8.2,20,DET,AL,681,Y,N
Matt Kemp,kempma01,2011,8,26,LAD,NL,689,N,N
Ralph Kiner,kinerra01,1951,8.1,28,PIT,NL,670,Y,N
Ralph Kiner,kinerra01,1949,8.1,26,PIT,NL,667,Y,N
Ralph Kiner,kinerra01,1947,8.3,24,PIT,NL,666,Y,N
Chuck Knoblauch,knoblch01,1996,8.7,27,MIN,AL,701,N,N
Nap Lajoie,lajoina01,1910,9.8,35,CLE,AL,678,Y,N
Nap Lajoie,lajoina01,1906,10,31,CLE,AL,655,Y,N
Nap Lajoie,lajoina01,1904,8.6,29,CLE,AL,594,Y,N
Nap Lajoie,lajoina01,1903,8,28,CLE,AL,525,Y,N
Nap Lajoie,lajoina01,1901,8.4,26,PHA,AL,582,Y,N
Evan Longoria,longoev01,2010,8.2,24,TBR,AL,661,N,N
Fred Lynn,lynnfr01,1979,8.9,27,BOS,AL,622,N,N
Mickey Mantle,mantlmi01,1961,10.5,29,NYY,AL,646,Y,N
Mickey Mantle,mantlmi01,1958,8.7,26,NYY,AL,654,Y,N
Mickey Mantle,mantlmi01,1957,11.3,25,NYY,AL,623,Y,Y
Mickey Mantle,mantlmi01,1956,11.3,24,NYY,AL,652,Y,Y
Mickey Mantle,mantlmi01,1955,9.6,23,NYY,AL,638,Y,N
Eddie Mathews,matheed01,1963,8,31,MLN,NL,675,Y,N
Eddie Mathews,matheed01,1959,8.2,27,MLN,NL,682,Y,N
Eddie Mathews,matheed01,1954,8,22,MLN,NL,600,Y,N
Eddie Mathews,matheed01,1953,8.3,21,MLN,NL,681,Y,N
Willie Mays,mayswi01,1966,9,35,SFG,NL,629,Y,N
Willie Mays,mayswi01,1965,11.2,34,SFG,NL,638,Y,Y
Willie Mays,mayswi01,1964,11,33,SFG,NL,665,Y,N
Willie Mays,mayswi01,1963,10.6,32,SFG,NL,671,Y,N
Willie Mays,mayswi01,1962,10.5,31,SFG,NL,706,Y,N
Willie Mays,mayswi01,1961,8.7,30,SFG,NL,659,Y,N
Willie Mays,mayswi01,1960,9.5,29,SFG,NL,669,Y,N
Willie Mays,mayswi01,1958,10.3,27,SFG,NL,685,Y,N
Willie Mays,mayswi01,1957,8.3,26,NYG,NL,669,Y,N
Willie Mays,mayswi01,1955,9.1,24,NYG,NL,670,Y,N
Willie Mays,mayswi01,1954,10.6,23,NYG,NL,641,Y,Y
Willie McCovey,mccovwi01,1969,8.1,31,SFG,NL,623,Y,Y
Willie McGee,mcgeewi01,1985,8.2,26,STL,NL,652,N,Y
John McGraw,mcgrajo01,1899,8,26,BLN,NL,539,Y,N
Joe Medwick,medwijo01,1937,8.5,25,STL,NL,677,Y,Y
Minnie Minoso,minosmi01,1954,8.2,28,CHW,AL,676,N,N
Johnny Mize,mizejo01,1939,8,26,STL,NL,669,Y,N
Joe Morgan,morgajo02,1976,9.6,32,CIN,NL,599,Y,Y
Joe Morgan,morgajo02,1975,11,31,CIN,NL,639,Y,Y
Joe Morgan,morgajo02,1974,8.6,30,CIN,NL,641,Y,N
Joe Morgan,morgajo02,1973,9.3,29,CIN,NL,698,Y,N
Joe Morgan,morgajo02,1972,9.3,28,CIN,NL,680,Y,N
Bobby Murcer,murcebo01,1972,8.1,26,NYY,AL,654,N,N
Stan Musial,musiast01,1952,8,31,STL,NL,678,Y,N
Stan Musial,musiast01,1951,9.1,30,STL,NL,678,Y,N
Stan Musial,musiast01,1949,9.2,28,STL,NL,722,Y,N
Stan Musial,musiast01,1948,11.1,27,STL,NL,698,Y,Y
Stan Musial,musiast01,1946,8.6,25,STL,NL,702,Y,Y
Stan Musial,musiast01,1944,8.8,23,STL,NL,668,Y,N
Stan Musial,musiast01,1943,9.4,22,STL,NL,700,Y,Y
Graig Nettles,nettlgr01,1976,8,31,NYY,AL,657,N,N
Mel Ott,ottme01,1938,8.9,29,NYG,NL,654,Y,N
Dustin Pedroia,pedrodu01,2011,8,27,BOS,AL,731,N,N
Rico Petrocelli,petrori01,1969,10,26,BOS,AL,643,N,N
Mike Piazza,piazzmi01,1997,8.7,28,LAD,NL,633,Y,N
Albert Pujols,pujolal01,2009,9.7,29,STL,NL,700,N,Y
Albert Pujols,pujolal01,2008,9.2,28,STL,NL,641,N,Y
Albert Pujols,pujolal01,2007,8.7,27,STL,NL,679,N,N
Albert Pujols,pujolal01,2006,8.5,26,STL,NL,634,N,N
Albert Pujols,pujolal01,2005,8.4,25,STL,NL,700,N,Y
Albert Pujols,pujolal01,2004,8.5,24,STL,NL,692,N,N
Albert Pujols,pujolal01,2003,8.7,23,STL,NL,685,N,N
Cal Ripken Jr.,ripkeca01,1991,11.5,30,BAL,AL,717,Y,Y
Cal Ripken Jr.,ripkeca01,1984,10,23,BAL,AL,716,Y,N
Cal Ripken Jr.,ripkeca01,1983,8.2,22,BAL,AL,726,Y,Y
Brooks Robinson,robinbr01,1968,8.4,31,BAL,AL,667,Y,N
Brooks Robinson,robinbr01,1964,8.1,27,BAL,AL,685,Y,Y
Frank Robinson,robinfr02,1962,8.7,26,CIN,NL,701,Y,N
Jackie Robinson,robinja02,1952,8.5,33,BRO,NL,636,Y,N
Jackie Robinson,robinja02,1951,9.7,32,BRO,NL,642,Y,N
Jackie Robinson,robinja02,1949,9.6,30,BRO,NL,704,Y,Y
Alex Rodriguez,rodrial01,2007,9.4,31,NYY,AL,708,N,Y
Alex Rodriguez,rodrial01,2005,9.4,29,NYY,AL,715,N,Y
Alex Rodriguez,rodrial01,2003,8.4,27,TEX,AL,715,N,Y
Alex Rodriguez,rodrial01,2002,8.8,26,TEX,AL,725,N,N
Alex Rodriguez,rodrial01,2001,8.3,25,TEX,AL,732,N,N
Alex Rodriguez,rodrial01,2000,10.4,24,SEA,AL,672,N,N
Alex Rodriguez,rodrial01,1998,8.5,22,SEA,AL,748,N,N
Alex Rodriguez,rodrial01,1996,9.4,20,SEA,AL,677,N,N
Scott Rolen,rolensc01,2004,9.2,29,STL,NL,593,N,N
Al Rosen,rosenal01,1953,10.1,29,CLE,AL,688,N,Y
Pete Rose,rosepe01,1973,8.3,32,CIN,NL,752,N,Y
Babe Ruth,ruthba01,1932,8.3,37,NYY,AL,589,Y,N
Babe Ruth,ruthba01,1931,10.3,36,NYY,AL,663,Y,N
Babe Ruth,ruthba01,1930,10.3,35,NYY,AL,676,Y,N
Babe Ruth,ruthba01,1929,8,34,NYY,AL,587,Y,N
Babe Ruth,ruthba01,1928,10.1,33,NYY,AL,684,Y,N
Babe Ruth,ruthba01,1927,12.4,32,NYY,AL,691,Y,N
Babe Ruth,ruthba01,1926,11.5,31,NYY,AL,652,Y,N
Babe Ruth,ruthba01,1924,11.7,29,NYY,AL,681,Y,N
Babe Ruth,ruthba01,1923,14.1,28,NYY,AL,697,Y,Y
Babe Ruth,ruthba01,1921,12.9,26,NYY,AL,693,Y,N
Babe Ruth,ruthba01,1920,11.9,25,NYY,AL,616,Y,N
Babe Ruth,ruthba01,1919,9.1,24,BOS,AL,543,Y,N
Ryne Sandberg,sandbry01,1984,8.6,24,CHC,NL,700,Y,Y
Ron Santo,santoro01,1967,9.8,27,CHC,NL,697,Y,N
Ron Santo,santoro01,1966,8.9,26,CHC,NL,672,Y,N
Ron Santo,santoro01,1964,8.9,24,CHC,NL,686,Y,N
Mike Schmidt,schmimi01,1980,8.9,30,PHI,NL,652,Y,Y
Mike Schmidt,schmimi01,1977,8.9,27,PHI,NL,667,Y,N
Mike Schmidt,schmimi01,1976,8,26,PHI,NL,705,Y,N
Mike Schmidt,schmimi01,1974,9.7,24,PHI,NL,686,Y,N
Cy Seymour,seymocy01,1905,8,32,CIN,NL,643,N,N
George Sisler,sislege01,1922,8.7,29,SLB,AL,655,Y,Y
George Sisler,sislege01,1920,9.8,27,SLB,AL,692,Y,N
Lonnie Smith,smithlo01,1989,8.8,33,ATL,NL,577,N,N
Duke Snider,snidedu01,1955,8.6,28,BRO,NL,653,Y,N
Duke Snider,snidedu01,1954,8.3,27,BRO,NL,679,Y,N
Duke Snider,snidedu01,1953,9.3,26,BRO,NL,680,Y,N
Sammy Sosa,sosasa01,2001,10.3,32,CHC,NL,711,N,N
Tris Speaker,speaktr01,1923,9,35,CLE,AL,695,Y,N
Tris Speaker,speaktr01,1920,8.5,32,CLE,AL,674,Y,N
Tris Speaker,speaktr01,1916,8.7,28,CLE,AL,646,Y,N
Tris Speaker,speaktr01,1914,10,26,BOS,AL,667,Y,N
Tris Speaker,speaktr01,1913,8.4,25,BOS,AL,611,Y,N
Tris Speaker,speaktr01,1912,10.1,24,BOS,AL,674,Y,Y
Eddie Stanky,stanked01,1950,8,34,NYG,NL,692,N,N
Snuffy Stirnweiss,stirnsn01,1945,8.7,26,NYY,AL,718,N,N
Snuffy Stirnweiss,stirnsn01,1944,8.5,25,NYY,AL,723,N,N
George Stone,stonege01,1906,8.7,29,SLB,AL,658,N,N
Ichiro Suzuki,suzukic01,2004,9.2,30,SEA,AL,762,N,N
Alan Trammell,trammal01,1987,8.2,29,DET,AL,668,Y,N
Mike Trout,troutmi01,2018,10.2,26,LAA,AL,608,N,N
Mike Trout,troutmi01,2016,10.5,24,LAA,AL,681,N,Y
Mike Trout,troutmi01,2015,9.4,23,LAA,AL,682,N,N
Mike Trout,troutmi01,2013,9,21,LAA,AL,716,N,N
Mike Trout,troutmi01,2012,10.5,20,LAA,AL,639,N,N
Terry Turner,turnete01,1906,9.4,25,CLE,AL,643,N,N
Chase Utley,utleych01,2009,8.2,30,PHI,NL,687,N,N
Chase Utley,utleych01,2008,9,29,PHI,NL,707,N,N
John Valentin,valenjo02,1995,8.3,28,BOS,AL,621,N,N
Arky Vaughan,vaughar01,1938,8.6,26,PIT,NL,650,Y,N
Arky Vaughan,vaughar01,1935,9.2,23,PIT,NL,609,Y,N
Honus Wagner,wagneho01,1912,8,38,PIT,NL,634,Y,N
Honus Wagner,wagneho01,1909,9.2,35,PIT,NL,590,Y,N
Honus Wagner,wagneho01,1908,11.5,34,PIT,NL,640,Y,N
Honus Wagner,wagneho01,1907,9,33,PIT,NL,580,Y,N
Honus Wagner,wagneho01,1906,9.3,32,PIT,NL,590,Y,N
Honus Wagner,wagneho01,1905,10.2,31,PIT,NL,616,Y,N
Honus Wagner,wagneho01,1904,8.3,30,PIT,NL,558,Y,N
Larry Walker,walkela01,1997,9.8,30,COL,NL,664,N,Y
Ted Williams,willite01,1957,9.7,38,BOS,AL,547,Y,N
Ted Williams,willite01,1949,9.1,30,BOS,AL,730,Y,Y
Ted Williams,willite01,1948,8.5,29,BOS,AL,638,Y,N
Ted Williams,willite01,1947,9.9,28,BOS,AL,692,Y,N
Ted Williams,willite01,1946,10.9,27,BOS,AL,672,Y,Y
Ted Williams,willite01,1942,10.6,23,BOS,AL,671,Y,N
Ted Williams,willite01,1941,10.6,22,BOS,AL,606,Y,N
Willie Wilson,wilsowi02,1980,8.5,24,KCR,AL,745,N,N
Dave Winfield,winfida01,1979,8.3,27,SDP,NL,686,Y,N
David Wright,wrighda03,2007,8.3,24,NYM,NL,711,N,N
Carl Yastrzemski,yastrca01,1970,9.5,30,BOS,AL,698,Y,N
Carl Yastrzemski,yastrca01,1968,10.5,28,BOS,AL,664,Y,N
Carl Yastrzemski,yastrca01,1967,12.5,27,BOS,AL,680,Y,Y
Robin Yount,yountro01,1982,10.5,26,MIL,AL,704,Y,Y
Ben Zobrist,zobribe01,2009,8.6,28,TBR,AL,599,N,N
** Generated by Baseball-Reference.com's Play Index
