Season,wOBA,Name,Team,PA,playerid
1929,0.380,Adam Comorosky,Pirates,533,1002486
1934,0.297,Adam Comorosky,Reds,491,1002486
2004,0.402,Adam Dunn,Reds,681,319
2007,0.398,Adam Dunn,Reds,632,319
2009,0.395,Adam Dunn,Nationals,668,319
2005,0.392,Adam Dunn,Reds,671,319
2008,0.384,Adam Dunn,- - -,651,319
2010,0.381,Adam Dunn,Nationals,648,319
2002,0.373,Adam Dunn,Reds,676,319
2006,0.363,Adam Dunn,Reds,683,319
2012,0.346,Adam Dunn,White Sox,649,319
2014,0.334,Adam Dunn,- - -,511,319
2013,0.331,Adam Dunn,White Sox,607,319
2016,0.333,Adam Duvall,Reds,608,10950
2017,0.327,Adam Duvall,Reds,647,10950
2015,0.346,Adam Eaton,White Sox,689,11205
2016,0.344,Adam Eaton,White Sox,706,11205
2014,0.340,Adam Eaton,White Sox,538,11205
2005,0.287,Adam Everett,Astros,595,1430
2006,0.278,Adam Everett,Astros,566,1430
2012,0.361,Adam Jones,Orioles,697,6368
2013,0.350,Adam Jones,Orioles,689,6368
2009,0.343,Adam Jones,Orioles,519,6368
2014,0.340,Adam Jones,Orioles,682,6368
2011,0.338,Adam Jones,Orioles,618,6368
2010,0.336,Adam Jones,Orioles,621,6368
2015,0.334,Adam Jones,Orioles,581,6368
2017,0.334,Adam Jones,Orioles,635,6368
2016,0.319,Adam Jones,Orioles,672,6368
2018,0.315,Adam Jones,Orioles,613,6368
2008,0.312,Adam Jones,Orioles,514,6368
2002,0.345,Adam Kennedy,Angels,509,19
2009,0.335,Adam Kennedy,Athletics,587,19
2004,0.330,Adam Kennedy,Angels,533,19
2003,0.327,Adam Kennedy,Angels,510,19
2006,0.312,Adam Kennedy,Angels,503,19
2000,0.302,Adam Kennedy,Angels,641,19
2001,0.300,Adam Kennedy,Angels,532,19
2006,0.381,Adam LaRoche,Braves,557,1904
2012,0.361,Adam LaRoche,Nationals,647,1904
2009,0.359,Adam LaRoche,- - -,629,1904
2008,0.358,Adam LaRoche,Pirates,554,1904
2014,0.356,Adam LaRoche,Nationals,586,1904
2007,0.348,Adam LaRoche,Pirates,632,1904
2010,0.341,Adam LaRoche,Diamondbacks,615,1904
2013,0.321,Adam LaRoche,Nationals,590,1904
2009,0.396,Adam Lind,Blue Jays,654,8027
2013,0.368,Adam Lind,Blue Jays,521,8027
2015,0.351,Adam Lind,Brewers,572,8027
2011,0.316,Adam Lind,Blue Jays,542,8027
2010,0.309,Adam Lind,Blue Jays,613,8027
2016,0.316,Addison Russell,Cubs,598,14106
2015,0.304,Addison Russell,Cubs,523,14106
2014,0.290,Adeiny Hechavarria,Marlins,574,10459
2016,0.256,Adeiny Hechavarria,Marlins,547,10459
2013,0.251,Adeiny Hechavarria,Marlins,578,10459
1967,0.364,Adolfo Phillips,Cubs,541,1010280
2016,0.308,Adonis Garcia,Braves,563,13777
1890,0.367,Adonis Terry,Bridegrooms,407,1012926
2004,0.423,Adrian Beltre,Dodgers,657,639
2010,0.391,Adrian Beltre,Red Sox,641,639
2012,0.388,Adrian Beltre,Rangers,654,639
2011,0.381,Adrian Beltre,Rangers,525,639
2014,0.380,Adrian Beltre,Rangers,614,639
2013,0.379,Adrian Beltre,Rangers,690,639
2016,0.371,Adrian Beltre,Rangers,640,639
2000,0.362,Adrian Beltre,Dodgers,575,639
2007,0.343,Adrian Beltre,Mariners,639,639
2006,0.339,Adrian Beltre,Mariners,681,639
1999,0.338,Adrian Beltre,Dodgers,614,639
2015,0.337,Adrian Beltre,Rangers,619,639
2008,0.335,Adrian Beltre,Mariners,612,639
2002,0.313,Adrian Beltre,Dodgers,635,639
2001,0.311,Adrian Beltre,Dodgers,515,639
2005,0.308,Adrian Beltre,Mariners,650,639
2003,0.305,Adrian Beltre,Dodgers,608,639
2011,0.407,Adrian Gonzalez,Red Sox,715,1908
2009,0.404,Adrian Gonzalez,Padres,681,1908
2010,0.379,Adrian Gonzalez,Padres,693,1908
2008,0.369,Adrian Gonzalez,Padres,700,1908
2006,0.365,Adrian Gonzalez,Padres,631,1908
2007,0.361,Adrian Gonzalez,Padres,720,1908
2015,0.354,Adrian Gonzalez,Dodgers,643,1908
2014,0.351,Adrian Gonzalez,Dodgers,660,1908
2013,0.346,Adrian Gonzalez,Dodgers,641,1908
2012,0.346,Adrian Gonzalez,- - -,684,1908
2016,0.334,Adrian Gonzalez,Dodgers,633,1908
2007,0.341,Akinori Iwamura,Devil Rays,559,7781
2008,0.326,Akinori Iwamura,Rays,707,7781
1914,0.301,Al Boucher,Terriers,593,1001230
1941,0.300,Al Brancato,Athletics,594,1001340
1909,0.361,Al Bridwell,Giants,566,1001422
1910,0.354,Al Bridwell,Giants,589,1001422
1911,0.347,Al Bridwell,- - -,535,1001422
1908,0.339,Al Bridwell,Giants,545,1001422
1913,0.327,Al Bridwell,Cubs,495,1001422
1914,0.326,Al Bridwell,Terriers,478,1001422
1907,0.282,Al Bridwell,Doves,586,1001422
1906,0.276,Al Bridwell,Beaneaters,518,1001422
1980,0.371,Al Bumbry,Orioles,738,1001649
1977,0.349,Al Bumbry,Orioles,571,1001649
1981,0.325,Al Bumbry,Orioles,451,1001649
1979,0.321,Al Bumbry,Orioles,621,1001649
1982,0.295,Al Bumbry,Orioles,618,1001649
1909,0.325,Al Burch,Superbas,661,1001656
1908,0.289,Al Burch,Superbas,500,1001656
1977,0.384,Al Cowens,Royals,661,1002689
1982,0.351,Al Cowens,Mariners,611,1002689
1979,0.335,Al Cowens,Royals,568,1002689
1984,0.331,Al Cowens,Mariners,559,1002689
1978,0.316,Al Cowens,Royals,534,1002689
1980,0.310,Al Cowens,- - -,584,1002689
1976,0.296,Al Cowens,Royals,616,1002689
1942,0.271,Al Glossop,Phillies,490,1004787
1879,0.257,Al Hall,Trojans,309,1005231
1915,0.313,Al Halt,Tip-Tops,581,1005264
1955,0.423,Al Kaline,Tigers,681,1006678
1967,0.418,Al Kaline,Tigers,550,1006678
1959,0.408,Al Kaline,Tigers,595,1006678
1966,0.401,Al Kaline,Tigers,572,1006678
1956,0.400,Al Kaline,Tigers,693,1006678
1961,0.399,Al Kaline,Tigers,665,1006678
1963,0.387,Al Kaline,Tigers,616,1006678
1958,0.378,Al Kaline,Tigers,607,1006678
1964,0.375,Al Kaline,Tigers,608,1006678
1970,0.368,Al Kaline,Tigers,555,1006678
1957,0.358,Al Kaline,Tigers,636,1006678
1969,0.356,Al Kaline,Tigers,518,1006678
1960,0.349,Al Kaline,Tigers,629,1006678
1974,0.335,Al Kaline,Tigers,630,1006678
1954,0.300,Al Kaline,Tigers,535,1006678
1948,0.313,Al Kozar,Senators,651,1007130
1945,0.342,Al Libke,Reds,489,1007595
1934,0.342,Al Lopez,Dodgers,504,1007751
1999,0.359,Al Martin,Pirates,593,1167
1993,0.356,Al Martin,Pirates,528,1167
1996,0.352,Al Martin,Pirates,694,1167
1995,0.347,Al Martin,Pirates,486,1167
2000,0.340,Al Martin,- - -,523,1167
1890,0.342,Al McCauley,Phillies,483,1008384
1890,0.363,Al Myers,Phillies,554,1009416
1884,0.352,Al Myers,Brewers,46,1009416
1889,0.330,Al Myers,- - -,544,1009416
1886,0.324,Al Myers,Cowboys,495,1009416
1891,0.320,Al Myers,Phillies,592,1009416
1887,0.298,Al Myers,Nationals,404,1009416
1888,0.262,Al Myers,Nationals,545,1009416
1885,0.229,Al Myers,Quakers,368,1009416
1989,0.302,Al Newman,Twins,521,1009539
1876,0.181,Al Nichols,Mutuals,214,1009552
1982,0.395,Al Oliver,Expos,687,1009773
1974,0.376,Al Oliver,Pirates,661,1009773
1978,0.374,Al Oliver,Rangers,568,1009773
1980,0.368,Al Oliver,Rangers,709,1009773
1979,0.365,Al Oliver,Rangers,538,1009773
1977,0.361,Al Oliver,Pirates,622,1009773
1972,0.356,Al Oliver,Pirates,612,1009773
1973,0.346,Al Oliver,Pirates,690,1009773
1975,0.341,Al Oliver,Pirates,666,1009773
1971,0.340,Al Oliver,Pirates,573,1009773
1981,0.339,Al Oliver,Rangers,448,1009773
1983,0.331,Al Oliver,Expos,664,1009773
1970,0.327,Al Oliver,Pirates,609,1009773
1957,0.337,Al Pilarcik,Orioles,482,1010349
1871,0.294,Al Pratt,Forest Citys,131,1010511
1871,0.385,Al Reach,Athletics,138,1010736
1953,0.456,Al Rosen,Indians,688,1011208
1950,0.426,Al Rosen,Indians,668,1011208
1952,0.416,Al Rosen,Indians,649,1011208
1954,0.410,Al Rosen,Indians,566,1011208
1951,0.373,Al Rosen,Indians,661,1011208
1955,0.348,Al Rosen,Indians,596,1011208
1956,0.346,Al Rosen,Indians,481,1011208
1915,0.354,Al Scheer,Pepper,631,1011530
1915,0.367,Al Shaw,Packers,507,1011817
1931,0.484,Al Simmons,Athletics,563,1011978
1930,0.480,Al Simmons,Athletics,611,1011978
1925,0.455,Al Simmons,Athletics,696,1011978
1929,0.454,Al Simmons,Athletics,629,1011978
1926,0.433,Al Simmons,Athletics,642,1011978
1928,0.429,Al Simmons,Athletics,509,1011978
1934,0.422,Al Simmons,White Sox,613,1011978
1932,0.405,Al Simmons,Athletics,718,1011978
1936,0.395,Al Simmons,Tigers,620,1011978
1933,0.391,Al Simmons,White Sox,648,1011978
1938,0.390,Al Simmons,Senators,512,1011978
1924,0.357,Al Simmons,Athletics,644,1011978
1935,0.335,Al Simmons,White Sox,561,1011978
1955,0.397,Al Smith,Indians,725,1012090
1954,0.385,Al Smith,Indians,583,1012090
1961,0.372,Al Smith,White Sox,602,1012090
1960,0.368,Al Smith,White Sox,595,1012090
1962,0.363,Al Smith,White Sox,575,1012090
1956,0.363,Al Smith,Indians,626,1012090
1957,0.328,Al Smith,Indians,605,1012090
1958,0.321,Al Smith,White Sox,541,1012090
1959,0.316,Al Smith,White Sox,529,1012090
1872,0.368,Al Spalding,Red Stockings,240,1012300
1873,0.339,Al Spalding,Red Stockings,325,1012300
1874,0.326,Al Spalding,Red Stockings,365,1012300
1876,0.324,Al Spalding,White Stockings,298,1012300
1875,0.316,Al Spalding,Red Stockings,346,1012300
1871,0.308,Al Spalding,Red Stockings,152,1012300
1877,0.272,Al Spalding,White Stockings,257,1012300
1964,0.291,Al Spangler,Colt .45's,505,1012302
1937,0.344,Al Todd,Pirates,534,1013094
1938,0.308,Al Todd,Pirates,521,1013094
1914,0.378,Al Wickland,Chi-Feds,648,1013920
1918,0.375,Al Wickland,Braves,399,1013920
1915,0.368,Al Wickland,- - -,573,1013920
1925,0.450,Al Wingo,Tigers,524,1014131
1950,0.418,Al Zarilla,Red Sox,556,1014420
1948,0.403,Al Zarilla,Browns,596,1014420
1949,0.358,Al Zarilla,- - -,593,1014420
1979,0.327,Alan Bannister,White Sox,560,1000515
1977,0.305,Alan Bannister,White Sox,630,1000515
1934,0.288,Alan Strange,Browns,486,1012595
1987,0.407,Alan Trammell,Tigers,668,1013157
1983,0.382,Alan Trammell,Tigers,581,1013157
1984,0.381,Alan Trammell,Tigers,626,1013157
1988,0.369,Alan Trammell,Tigers,523,1013157
1990,0.368,Alan Trammell,Tigers,637,1013157
1986,0.358,Alan Trammell,Tigers,653,1013157
1980,0.354,Alan Trammell,Tigers,652,1013157
1982,0.324,Alan Trammell,Tigers,556,1013157
1979,0.315,Alan Trammell,Tigers,520,1013157
1981,0.313,Alan Trammell,Tigers,463,1013157
1978,0.312,Alan Trammell,Tigers,504,1013157
1985,0.307,Alan Trammell,Tigers,678,1013157
1989,0.298,Alan Trammell,Tigers,506,1013157
1983,0.317,Alan Wiggins,Padres,585,1013931
1984,0.311,Alan Wiggins,Padres,692,1013931
1994,0.476,Albert Belle,Indians,480,1000802
1995,0.456,Albert Belle,Indians,631,1000802
1998,0.437,Albert Belle,White Sox,706,1000802
1996,0.430,Albert Belle,Indians,715,1000802
1999,0.400,Albert Belle,Orioles,722,1000802
1993,0.392,Albert Belle,Indians,693,1000802
1992,0.354,Albert Belle,Indians,651,1000802
1997,0.352,Albert Belle,White Sox,701,1000802
2000,0.346,Albert Belle,Orioles,622,1000802
2003,0.461,Albert Pujols,Cardinals,685,1177
2008,0.459,Albert Pujols,Cardinals,641,1177
2009,0.447,Albert Pujols,Cardinals,700,1177
2006,0.447,Albert Pujols,Cardinals,634,1177
2004,0.442,Albert Pujols,Cardinals,692,1177
2005,0.432,Albert Pujols,Cardinals,700,1177
2001,0.423,Albert Pujols,Cardinals,676,1177
2007,0.419,Albert Pujols,Cardinals,679,1177
2010,0.419,Albert Pujols,Cardinals,700,1177
2002,0.404,Albert Pujols,Cardinals,675,1177
2011,0.384,Albert Pujols,Cardinals,651,1177
2012,0.360,Albert Pujols,Angels,670,1177
2014,0.340,Albert Pujols,Angels,695,1177
2015,0.333,Albert Pujols,Angels,661,1177
2016,0.331,Albert Pujols,Angels,650,1177
2017,0.286,Albert Pujols,Angels,636,1177
2009,0.353,Alberto Callaspo,Royals,634,3336
2011,0.328,Alberto Callaspo,Angels,536,3336
2013,0.312,Alberto Callaspo,- - -,516,3336
2012,0.308,Alberto Callaspo,Angels,520,3336
2010,0.297,Alberto Callaspo,- - -,601,3336
1961,0.378,Albie Pearson,Angels,535,1010108
1963,0.361,Albie Pearson,Angels,684,1010108
1962,0.328,Albie Pearson,Angels,718,1010108
1958,0.325,Albie Pearson,Senators,610,1010108
2012,0.316,Alcides Escobar,Royals,648,6310
2014,0.307,Alcides Escobar,Royals,620,6310
2011,0.280,Alcides Escobar,Royals,598,6310
2016,0.278,Alcides Escobar,Royals,682,6310
2015,0.271,Alcides Escobar,Royals,662,6310
2010,0.270,Alcides Escobar,Brewers,552,6310
2017,0.269,Alcides Escobar,Royals,629,6310
2018,0.261,Alcides Escobar,Royals,531,6310
2013,0.247,Alcides Escobar,Royals,642,6310
2012,0.333,Alejandro De Aza,White Sox,585,3371
2013,0.320,Alejandro De Aza,White Sox,675,3371
2014,0.310,Alejandro De Aza,- - -,528,3371
2011,0.384,Alex Avila,Tigers,551,7476
2018,0.396,Alex Bregman,Astros,705,17678
2017,0.351,Alex Bregman,Astros,626,17678
2004,0.290,Alex Cintron,Diamondbacks,613,50
1994,0.348,Alex Cole,Twins,398,1002411
2003,0.274,Alex Cora,Dodgers,514,1386
1999,0.321,Alex Gonzalez,Marlins,591,520
2010,0.321,Alex Gonzalez,- - -,640,520
2003,0.318,Alex Gonzalez,Marlins,582,520
2002,0.317,Alex Gonzalez,Cubs,568,281
2000,0.316,Alex Gonzalez,Blue Jays,591,281
2003,0.306,Alex Gonzalez,Cubs,601,281
1996,0.305,Alex Gonzalez,Blue Jays,587,281
2001,0.300,Alex Gonzalez,Blue Jays,703,281
2001,0.293,Alex Gonzalez,Marlins,561,520
2004,0.288,Alex Gonzalez,Marlins,599,520
1998,0.283,Alex Gonzalez,Blue Jays,618,281
2011,0.281,Alex Gonzalez,Braves,593,520
2011,0.382,Alex Gordon,Royals,690,5209
2012,0.357,Alex Gordon,Royals,721,5209
2014,0.346,Alex Gordon,Royals,643,5209
2008,0.343,Alex Gordon,Royals,571,5209
2013,0.326,Alex Gordon,Royals,700,5209
2007,0.316,Alex Gordon,Royals,601,5209
2018,0.305,Alex Gordon,Royals,568,5209
2016,0.303,Alex Gordon,Royals,506,5209
2017,0.269,Alex Gordon,Royals,541,5209
1970,0.367,Alex Johnson,Angels,659,1006418
1969,0.364,Alex Johnson,Reds,572,1006418
1968,0.333,Alex Johnson,Reds,634,1006418
1974,0.319,Alex Johnson,- - -,514,1006418
1973,0.315,Alex Johnson,Rangers,663,1006418
1937,0.353,Alex Kampouris,Reds,526,1006685
1935,0.302,Alex Kampouris,Reds,545,1006685
1886,0.351,Alex McKinnon,Maroons,512,1008597
1885,0.318,Alex McKinnon,Maroons,419,1008597
1884,0.305,Alex McKinnon,Gothams,478,1008597
1928,0.390,Alex Metzler,White Sox,567,1008814
1927,0.387,Alex Metzler,White Sox,624,1008814
1929,0.348,Alex Metzler,White Sox,658,1008814
2001,0.323,Alex Ochoa,- - -,593,700
2007,0.366,Alex Rios,Blue Jays,711,2090
2012,0.361,Alex Rios,White Sox,640,2090
2008,0.346,Alex Rios,Blue Jays,687,2090
2010,0.344,Alex Rios,White Sox,617,2090
2013,0.330,Alex Rios,- - -,662,2090
2014,0.309,Alex Rios,Rangers,521,2090
2005,0.306,Alex Rios,Blue Jays,519,2090
2009,0.302,Alex Rios,- - -,633,2090
2011,0.267,Alex Rios,White Sox,570,2090
2007,0.445,Alex Rodriguez,Yankees,708,1274
1996,0.443,Alex Rodriguez,Mariners,677,1274
2005,0.436,Alex Rodriguez,Yankees,715,1274
2000,0.431,Alex Rodriguez,Mariners,672,1274
2001,0.425,Alex Rodriguez,Rangers,732,1274
2002,0.424,Alex Rodriguez,Rangers,725,1274
2003,0.416,Alex Rodriguez,Rangers,715,1274
2008,0.409,Alex Rodriguez,Yankees,594,1274
2009,0.401,Alex Rodriguez,Yankees,535,1274
1999,0.395,Alex Rodriguez,Mariners,572,1274
1998,0.394,Alex Rodriguez,Mariners,748,1274
2006,0.389,Alex Rodriguez,Yankees,674,1274
2004,0.379,Alex Rodriguez,Yankees,698,1274
1997,0.368,Alex Rodriguez,Mariners,638,1274
2010,0.365,Alex Rodriguez,Yankees,595,1274
2015,0.361,Alex Rodriguez,Yankees,620,1274
2012,0.342,Alex Rodriguez,Yankees,529,1274
2003,0.300,Alex Sanchez,- - -,599,708
2008,0.340,Alexei Ramirez,White Sox,509,5133
2010,0.324,Alexei Ramirez,White Sox,626,5133
2011,0.322,Alexei Ramirez,White Sox,684,5133
2009,0.319,Alexei Ramirez,White Sox,606,5133
2014,0.314,Alexei Ramirez,White Sox,657,5133
2013,0.304,Alexei Ramirez,White Sox,674,5133
2012,0.282,Alexei Ramirez,White Sox,621,5133
2015,0.279,Alexei Ramirez,White Sox,622,5133
2016,0.264,Alexei Ramirez,- - -,506,5133
2007,0.378,Alfonso Soriano,Cubs,617,847
2006,0.377,Alfonso Soriano,Nationals,728,847
2002,0.374,Alfonso Soriano,Yankees,741,847
2008,0.368,Alfonso Soriano,Cubs,503,847
2003,0.365,Alfonso Soriano,Yankees,734,847
2010,0.352,Alfonso Soriano,Cubs,548,847
2012,0.350,Alfonso Soriano,Cubs,615,847
2005,0.347,Alfonso Soriano,Rangers,682,847
2004,0.342,Alfonso Soriano,Rangers,658,847
2013,0.340,Alfonso Soriano,- - -,626,847
2011,0.326,Alfonso Soriano,Cubs,508,847
2001,0.316,Alfonso Soriano,Yankees,614,847
2009,0.313,Alfonso Soriano,Cubs,522,847
1979,0.316,Alfredo Griffin,Blue Jays,689,1005036
1986,0.305,Alfredo Griffin,Athletics,649,1005036
1987,0.290,Alfredo Griffin,Athletics,539,1005036
1983,0.287,Alfredo Griffin,Blue Jays,572,1005036
1980,0.282,Alfredo Griffin,Blue Jays,696,1005036
1985,0.277,Alfredo Griffin,Athletics,646,1005036
1989,0.272,Alfredo Griffin,Dodgers,547,1005036
1982,0.262,Alfredo Griffin,Blue Jays,576,1005036
1981,0.243,Alfredo Griffin,Blue Jays,414,1005036
1898,0.379,Algie McBride,Reds,557,1008339
1900,0.330,Algie McBride,Reds,470,1008339
2012,0.374,Allen Craig,Cardinals,514,3433
2013,0.363,Allen Craig,Cardinals,563,3433
2014,0.269,Allen Craig,- - -,505,3433
1989,0.287,Alvaro Espinoza,Yankees,544,1003828
1991,0.282,Alvaro Espinoza,Yankees,509,1003828
1951,0.368,Alvin Dark,Giants,700,1002987
1953,0.367,Alvin Dark,Giants,693,1002987
1952,0.365,Alvin Dark,Giants,649,1002987
1948,0.364,Alvin Dark,Braves,579,1002987
1950,0.349,Alvin Dark,Giants,643,1002987
1954,0.348,Alvin Dark,Giants,693,1002987
1959,0.322,Alvin Dark,Cubs,545,1002987
1955,0.320,Alvin Dark,Giants,508,1002987
1949,0.316,Alvin Dark,Braves,572,1002987
1958,0.315,Alvin Dark,- - -,572,1002987
1957,0.314,Alvin Dark,Cardinals,625,1002987
1956,0.302,Alvin Dark,- - -,664,1002987
1989,0.407,Alvin Davis,Mariners,611,1003033
1984,0.389,Alvin Davis,Mariners,678,1003033
1988,0.388,Alvin Davis,Mariners,582,1003033
1987,0.379,Alvin Davis,Mariners,662,1003033
1985,0.365,Alvin Davis,Mariners,677,1003033
1990,0.365,Alvin Davis,Mariners,592,1003033
1986,0.355,Alvin Davis,Mariners,562,1003033
1991,0.283,Alvin Davis,Mariners,528,1003033
1908,0.334,Amby McConnell,Red Sox,562,1008405
1909,0.293,Amby McConnell,Red Sox,509,1008405
2018,0.290,Amed Rosario,Mets,592,15518
1876,0.264,Amos Booth,Reds,281,1001191
1978,0.397,Amos Otis,Royals,567,1009893
1973,0.381,Amos Otis,Royals,651,1009893
1979,0.360,Amos Otis,Royals,660,1009893
1976,0.356,Amos Otis,Royals,665,1009893
1971,0.355,Amos Otis,Royals,607,1009893
1974,0.354,Amos Otis,Royals,632,1009893
1972,0.348,Amos Otis,Royals,605,1009893
1970,0.348,Amos Otis,Royals,700,1009893
1977,0.341,Amos Otis,Royals,561,1009893
1975,0.337,Amos Otis,Royals,548,1009893
1982,0.334,Amos Otis,Royals,525,1009893
1981,0.333,Amos Otis,Royals,417,1009893
1916,0.393,Amos Strunk,Athletics,634,1012634
1915,0.383,Amos Strunk,Athletics,565,1012634
1912,0.368,Amos Strunk,Athletics,487,1012634
1917,0.354,Amos Strunk,Athletics,634,1012634
1918,0.323,Amos Strunk,Red Sox,471,1012634
1981,0.401,Andre Dawson,Expos,441,1003091
1990,0.380,Andre Dawson,Cubs,581,1003091
1987,0.377,Andre Dawson,Cubs,662,1003091
1983,0.374,Andre Dawson,Expos,698,1003091
1980,0.372,Andre Dawson,Expos,638,1003091
1982,0.369,Andre Dawson,Expos,659,1003091
1988,0.368,Andre Dawson,Cubs,640,1003091
1986,0.351,Andre Dawson,Expos,546,1003091
1977,0.347,Andre Dawson,Expos,566,1003091
1991,0.346,Andre Dawson,Cubs,596,1003091
1992,0.340,Andre Dawson,Cubs,582,1003091
1979,0.338,Andre Dawson,Expos,684,1003091
1978,0.330,Andre Dawson,Expos,660,1003091
1985,0.319,Andre Dawson,Expos,570,1003091
1984,0.316,Andre Dawson,Expos,583,1003091
2008,0.383,Andre Ethier,Dodgers,596,6265
2009,0.371,Andre Ethier,Dodgers,685,6265
2010,0.368,Andre Ethier,Dodgers,585,6265
2012,0.350,Andre Ethier,Dodgers,618,6265
2011,0.345,Andre Ethier,Dodgers,551,6265
2007,0.341,Andre Ethier,Dodgers,507,6265
2013,0.340,Andre Ethier,Dodgers,553,6265
1962,0.328,Andre Rodgers,Cubs,512,1011095
1964,0.307,Andre Rodgers,Cubs,508,1011095
1963,0.288,Andre Rodgers,Cubs,601,1011095
1978,0.396,Andre Thornton,Indians,617,1013037
1977,0.396,Andre Thornton,Indians,517,1013037
1982,0.380,Andre Thornton,Indians,708,1013037
1984,0.373,Andre Thornton,Indians,690,1013037
1983,0.363,Andre Thornton,Indians,605,1013037
1979,0.354,Andre Thornton,Indians,617,1013037
1985,0.316,Andre Thornton,Indians,514,1013037
2018,0.326,Andrelton Simmons,Angels,600,10847
2017,0.323,Andrelton Simmons,Angels,647,10847
2013,0.303,Andrelton Simmons,Braves,658,10847
2015,0.290,Andrelton Simmons,Braves,583,10847
2014,0.273,Andrelton Simmons,Braves,576,10847
1993,0.429,Andres Galarraga,Rockies,506,1390
1998,0.418,Andres Galarraga,Braves,648,1390
1997,0.418,Andres Galarraga,Rockies,674,1390
1996,0.402,Andres Galarraga,Rockies,691,1390
1994,0.396,Andres Galarraga,Rockies,449,1390
1988,0.390,Andres Galarraga,Expos,661,1390
2000,0.383,Andres Galarraga,Braves,548,1390
1995,0.360,Andres Galarraga,Rockies,604,1390
1987,0.352,Andres Galarraga,Expos,606,1390
1989,0.338,Andres Galarraga,Expos,636,1390
1990,0.316,Andres Galarraga,Expos,628,1390
1988,0.276,Andres Thomas,Braves,627,1012962
1989,0.242,Andres Thomas,Braves,571,1012962
2010,0.358,Andres Torres,Giants,570,1488
2018,0.357,Andrew Benintendi,Red Sox,661,17901
2017,0.332,Andrew Benintendi,Red Sox,658,17901
2014,0.412,Andrew McCutchen,Pirates,648,9847
2012,0.403,Andrew McCutchen,Pirates,673,9847
2013,0.393,Andrew McCutchen,Pirates,674,9847
2015,0.380,Andrew McCutchen,Pirates,685,9847
2017,0.360,Andrew McCutchen,Pirates,650,9847
2011,0.360,Andrew McCutchen,Pirates,678,9847
2010,0.359,Andrew McCutchen,Pirates,653,9847
2018,0.347,Andrew McCutchen,- - -,682,9847
2016,0.329,Andrew McCutchen,Pirates,675,9847
2000,0.387,Andruw Jones,Braves,729,96
2005,0.383,Andruw Jones,Braves,672,96
2002,0.377,Andruw Jones,Braves,659,96
2006,0.375,Andruw Jones,Braves,669,96
1999,0.365,Andruw Jones,Braves,679,96
2003,0.362,Andruw Jones,Braves,659,96
2004,0.353,Andruw Jones,Braves,646,96
1998,0.353,Andruw Jones,Braves,631,96
2001,0.328,Andruw Jones,Braves,693,96
2007,0.315,Andruw Jones,Braves,659,96
1993,0.333,Andujar Cedeno,Astros,569,1002099
1994,0.318,Andujar Cedeno,Astros,380,1002099
1872,0.163,Andy Allison,Eckfords,93,1000163
